date,time,tradingsymbol,open,high,low,close,volume
2023-07-24,00:00:00,UNITDSPR,1049.0,1049.0,973.25,977.65,6109585
2023-07-25,00:00:00,UNITDSPR,986.15,990.0,974.0,983.45,1475852
2023-07-26,00:00:00,UNITDSPR,989.45,998.9,977.4,983.9,1287267
2023-07-27,00:00:00,UNITDSPR,988.9,999.5,983.3,996.95,1192702
2023-07-28,00:00:00,UNITDSPR,1000.6,1014.0,991.6,1011.85,1315502
2023-07-31,00:00:00,UNITDSPR,1014.0,1019.75,1004.45,1015.85,787817
2023-08-01,00:00:00,UNITDSPR,1018.0,1030.0,1013.2,1017.75,958075
2023-08-02,00:00:00,UNITDSPR,1017.85,1018.0,986.05,1003.6,898416
2023-08-03,00:00:00,UNITDSPR,1005.2,1013.8,995.0,1002.4,571218
2023-08-04,00:00:00,UNITDSPR,1006.8,1009.0,996.45,1005.95,382504
2023-08-07,00:00:00,UNITDSPR,1003.05,1009.0,990.2,1005.9,681753
2023-08-08,00:00:00,UNITDSPR,1010.0,1021.9,1006.5,1019.65,860792
2023-08-09,00:00:00,UNITDSPR,1022.25,1024.0,1008.15,1018.6,428259
2023-08-10,00:00:00,UNITDSPR,1018.6,1018.8,1007.6,1010.85,280293
2023-08-11,00:00:00,UNITDSPR,1006.05,1009.9,985.0,987.6,552202
2023-08-14,00:00:00,UNITDSPR,987.6,995.7,981.55,986.75,813223
2023-08-16,00:00:00,UNITDSPR,985.65,996.4,976.05,995.15,550173
2023-08-17,00:00:00,UNITDSPR,997.1,1007.85,984.8,1002.8,1244731
2023-08-18,00:00:00,UNITDSPR,1009.1,1014.15,992.6,995.45,768977
2023-08-21,00:00:00,UNITDSPR,1000.0,1006.85,988.85,1002.5,516608
2023-08-22,00:00:00,UNITDSPR,1005.75,1036.55,1000.0,1034.2,1504647
2023-08-23,00:00:00,UNITDSPR,1040.05,1041.2,1010.15,1013.85,1057293
2023-08-24,00:00:00,UNITDSPR,1019.0,1030.7,1015.85,1018.75,651292
2023-08-25,00:00:00,UNITDSPR,1017.2,1018.45,1002.05,1008.15,711399
2023-08-28,00:00:00,UNITDSPR,1008.95,1015.7,997.2,1000.35,403389
2023-08-29,00:00:00,UNITDSPR,1007.0,1016.4,1000.0,1003.45,799395
2023-08-30,00:00:00,UNITDSPR,1003.45,1020.5,1003.45,1013.35,604846
2023-08-31,00:00:00,UNITDSPR,1020.0,1020.0,1000.35,1007.55,998409
2023-09-01,00:00:00,UNITDSPR,1008.0,1020.6,1005.0,1012.45,466577
2023-09-04,00:00:00,UNITDSPR,1014.0,1031.0,1002.6,1024.85,721197
2023-09-05,00:00:00,UNITDSPR,1027.65,1035.0,1022.7,1031.65,660018
2023-09-06,00:00:00,UNITDSPR,1032.0,1068.95,1020.5,1058.7,2101361
2023-09-07,00:00:00,UNITDSPR,1063.95,1065.95,1050.0,1052.2,1064869
2023-09-08,00:00:00,UNITDSPR,1056.1,1063.0,1048.05,1055.2,671258
2023-09-11,00:00:00,UNITDSPR,1061.95,1072.85,1054.75,1067.15,932525
2023-09-12,00:00:00,UNITDSPR,1065.1,1069.1,1030.25,1037.7,1238905
2023-09-13,00:00:00,UNITDSPR,1036.95,1059.05,1022.5,1029.4,769157
2023-09-14,00:00:00,UNITDSPR,1032.5,1067.6,1032.5,1065.25,1450831
